ts,red,ir,green
1680104290671607,128874.0,152641.0,11896.0
1680104290682607,128897.0,152638.0,11856.0
1680104290693607,128929.0,152684.0,11851.0
1680104290702607,128880.0,152654.0,11836.0
1680104290712607,128867.0,152614.0,11844.0
1680104290722607,128891.0,152678.0,11856.0
1680104290734607,128851.0,152723.0,11835.0
1680104290744607,128823.0,152667.0,11857.0
1680104290753607,128772.0,152698.0,11838.0
1680104290762607,128791.0,152716.0,11831.0
1680104290774608,128829.0,152743.0,11821.0
1680104290784608,128839.0,152706.0,11832.0
1680104290792607,128835.0,152675.0,11836.0
1680104290802607,128840.0,152744.0,11826.0
1680104290812607,128836.0,152738.0,11822.0
1680104290824607,128846.0,152800.0,11837.0
1680104290834607,128845.0,152742.0,11872.0
1680104290842607,128869.0,152720.0,11857.0
1680104290852607,128836.0,152689.0,11848.0
1680104290864607,128876.0,152756.0,11831.0
1680104290873607,128888.0,152711.0,11832.0
1680104290881607,128846.0,152667.0,11842.0
1680104290892607,128876.0,152736.0,11789.0
1680104290904607,128885.0,152719.0,11832.0
1680104290912607,128885.0,152679.0,11838.0
1680104290921607,128867.0,152716.0,11853.0
1680104290934607,128875.0,152755.0,11814.0
1680104290942607,128864.0,152731.0,11831.0
1680104290952607,128867.0,152755.0,11835.0
1680104290962608,128868.0,152770.0,11835.0
1680104290973608,128858.0,152802.0,11822.0
1680104290982608,128845.0,152754.0,11849.0
1680104290992608,128865.0,152754.0,11817.0
1680104291004608,128842.0,152796.0,11823.0
1680104291012608,128849.0,152768.0,11849.0
1680104291022608,128848.0,152731.0,11825.0
1680104291033608,128881.0,152762.0,11830.0
1680104291043608,128828.0,152688.0,11818.0
1680104291054607,128838.0,152728.0,11815.0
1680104291061607,128822.0,152731.0,11827.0
1680104291072607,128830.0,152724.0,11787.0
1680104291082607,128836.0,152721.0,11827.0
1680104291091607,128784.0,152728.0,11812.0
1680104291101607,128840.0,152720.0,11825.0
1680104291112607,128841.0,152715.0,11812.0
1680104291123607,128808.0,152732.0,11816.0
1680104291131607,128832.0,152709.0,11830.0
1680104291142608,128820.0,152708.0,11828.0
1680104291153607,128849.0,152727.0,11823.0
1680104291163607,128832.0,152698.0,11826.0
1680104291171607,128788.0,152707.0,11813.0
1680104291181607,128825.0,152737.0,11825.0
1680104291193607,128828.0,152751.0,11783.0
1680104291203607,128793.0,152729.0,11809.0
1680104291212607,128843.0,152709.0,11815.0
1680104291221608,128824.0,152744.0,11821.0
1680104291232607,128827.0,152721.0,11825.0
1680104291242607,128861.0,152770.0,11815.0
1680104291252607,128820.0,152723.0,11823.0
1680104291262607,128870.0,152724.0,11834.0
1680104291272607,128879.0,152732.0,11838.0
1680104291284608,128924.0,152746.0,11845.0
1680104291294608,128922.0,152678.0,11890.0
1680104291302607,128911.0,152655.0,11880.0
1680104291311607,128946.0,152604.0,11878.0
1680104291323608,128983.0,152654.0,11849.0
1680104291332608,128992.0,152634.0,11880.0
1680104291341608,128995.0,152631.0,11877.0
1680104291352608,128988.0,152647.0,11882.0
1680104291363608,128976.0,152655.0,11869.0
1680104291372608,128917.0,152651.0,11916.0
1680104291382608,128949.0,152642.0,11869.0
1680104291392608,129003.0,152696.0,11862.0
1680104291403607,128938.0,152742.0,11845.0
1680104291412608,128930.0,152708.0,11867.0
1680104291422608,128872.0,152733.0,11852.0
1680104291432608,128930.0,152760.0,11839.0
1680104291444608,128882.0,152780.0,11830.0
1680104291454608,128864.0,152759.0,11833.0
1680104291462607,128883.0,152739.0,11817.0
1680104291471608,128857.0,152793.0,11795.0
1680104291483608,128848.0,152804.0,11813.0
1680104291492608,128856.0,152795.0,11807.0
1680104291502608,128810.0,152810.0,11830.0
1680104291512608,128859.0,152834.0,11824.0
1680104291522608,128847.0,152828.0,11814.0
1680104291532608,128866.0,152773.0,11814.0
1680104291543608,128906.0,152794.0,11821.0
1680104291551607,128847.0,152847.0,11825.0
1680104291562607,128878.0,152731.0,11841.0
1680104291573607,128917.0,152777.0,11831.0
1680104291582607,128894.0,152793.0,11857.0
1680104291592607,128895.0,152740.0,11809.0
1680104291603607,128897.0,152805.0,11825.0
1680104291612607,128859.0,152754.0,11868.0
1680104291622607,128891.0,152763.0,11840.0
1680104291632607,128916.0,152772.0,11830.0
1680104291642607,128870.0,152800.0,11830.0
1680104291654607,128884.0,152761.0,11822.0
1680104291661607,128854.0,152771.0,11834.0
1680104291671607,128881.0,152766.0,11796.0
1680104291683608,128888.0,152775.0,11831.0
1680104291691608,128840.0,152772.0,11826.0
1680104291702607,128878.0,152798.0,11833.0
1680104291712607,128881.0,152794.0,11830.0
1680104291721608,128924.0,152866.0,11817.0
1680104291732607,128858.0,152804.0,11835.0
1680104291742607,128863.0,152818.0,11811.0
1680104291752607,128906.0,152825.0,11821.0
1680104291763607,128826.0,152852.0,11816.0
1680104291772607,128855.0,152774.0,11836.0
1680104291782607,128822.0,152790.0,11808.0
1680104291794608,128845.0,152850.0,11813.0
1680104291801607,128868.0,152805.0,11824.0
1680104291811607,128840.0,152821.0,11813.0
1680104291823608,128853.0,152817.0,11816.0
1680104291832608,128847.0,152765.0,11842.0
1680104291842608,128819.0,152814.0,11799.0
1680104291851608,128862.0,152812.0,11811.0
1680104291862608,128845.0,152834.0,11811.0
1680104291873607,128882.0,152829.0,11806.0
1680104291881607,128841.0,152830.0,11845.0
1680104291892607,128840.0,152817.0,11811.0
1680104291901607,128881.0,152837.0,11823.0
1680104291912607,128806.0,152870.0,11777.0
1680104291923607,128840.0,152836.0,11814.0
1680104291932607,128812.0,152847.0,11818.0
1680104291941607,128826.0,152839.0,11816.0
1680104291953607,128854.0,152861.0,11776.0
1680104291962607,128869.0,152865.0,11803.0
1680104291971608,128840.0,152862.0,11808.0
1680104291981608,128855.0,152846.0,11820.0
1680104291992607,128875.0,152842.0,11837.0
1680104292002607,128848.0,152839.0,11817.0
1680104292013607,128921.0,152854.0,11833.0
1680104292023607,128856.0,152829.0,11883.0
1680104292032607,128955.0,152774.0,11878.0
1680104292042608,128914.0,152772.0,11878.0
1680104292052608,129020.0,152764.0,11821.0
1680104292062608,128997.0,152751.0,11876.0
1680104292071608,129009.0,152683.0,11877.0
1680104292083608,128984.0,152763.0,11833.0
1680104292093608,129003.0,152749.0,11863.0
1680104292101608,128992.0,152793.0,11872.0
1680104292111608,128997.0,152770.0,11852.0
1680104292122608,128990.0,152804.0,11843.0
1680104292132608,129003.0,152845.0,11856.0
1680104292143607,128870.0,152840.0,11848.0
1680104292152608,128955.0,152824.0,11850.0
1680104292161608,128878.0,152844.0,11833.0
1680104292172608,128926.0,152854.0,11806.0
1680104292183607,128928.0,152820.0,11828.0
