ts,x,y,z
1680726357537068,-9.78,1.09,0.89
1680726357548067,-9.77,1.0,0.87
1680726357559067,-9.78,1.03,0.89
1680726357569067,-9.72,1.01,0.89
1680726357580067,-9.75,0.96,0.86
1680726357590067,-9.77,0.97,0.88
1680726357601067,-9.76,0.99,0.83
1680726357611067,-9.78,1.05,0.85
1680726357621067,-9.79,1.05,0.85
1680726357632067,-9.77,1.0,0.89
1680726357643069,-9.77,0.97,0.83
1680726357652069,-9.77,0.99,0.87
1680726357663069,-9.76,0.97,0.89
1680726357673069,-9.73,0.95,0.88
1680726357684069,-9.73,0.96,0.84
1680726357694069,-9.77,0.99,0.84
1680726357705068,-9.79,1.02,0.83
1680726357717069,-9.73,1.04,0.86
1680726357728068,-9.8,1.04,0.89
1680726357739068,-9.78,1.06,0.89
1680726357750068,-9.81,1.06,0.84
1680726357760068,-9.74,0.97,0.82
1680726357771068,-9.76,0.96,0.8
1680726357782068,-9.77,1.0,0.83
1680726357793068,-9.78,1.05,0.87
1680726357804068,-9.78,1.06,0.89
1680726357815068,-9.74,1.05,0.9
1680726357827068,-9.77,1.02,0.8
1680726357838068,-9.76,0.96,0.81
1680726357848068,-9.79,0.93,0.78
1680726357859068,-9.81,0.93,0.81
1680726357869068,-9.76,0.96,0.85
1680726357880068,-9.75,0.98,0.86
1680726357890068,-9.77,1.05,0.89
1680726357901068,-9.73,1.09,0.9
1680726357912068,-9.74,1.06,0.89
1680726357923067,-9.76,1.01,0.8
1680726357934067,-9.79,0.98,0.84
1680726357944067,-9.79,0.97,0.81
1680726357955067,-9.76,0.97,0.81
1680726357967067,-9.76,0.99,0.81
1680726357977067,-9.79,1.01,0.84
1680726357988067,-9.76,1.0,0.85
1680726357999069,-9.76,0.95,0.85
1680726358008069,-9.76,0.98,0.82
1680726358019069,-9.74,1.01,0.8
1680726358029069,-9.75,1.02,0.83
1680726358040068,-9.79,1.0,0.8
1680726358051068,-9.77,1.01,0.78
1680726358061068,-9.77,0.97,0.8
1680726358072068,-9.8,0.94,0.8
1680726358082068,-9.73,0.97,0.83
1680726358093068,-9.74,1.03,0.86
1680726358104068,-9.74,1.06,0.86
1680726358114068,-9.77,1.06,0.85
1680726358125068,-9.74,1.04,0.85
1680726358137068,-9.75,1.02,0.81
1680726358147068,-9.73,1.0,0.82
1680726358158068,-9.75,0.96,0.8
1680726358169068,-9.75,0.98,0.86
1680726358180068,-9.78,1.04,0.78
1680726358191068,-9.77,1.01,0.77
1680726358202068,-9.76,1.02,0.77
1680726358213068,-9.77,0.99,0.8
1680726358224068,-9.78,0.95,0.8
1680726358235067,-9.77,0.97,0.79
1680726358246067,-9.76,1.01,0.82
1680726358257067,-9.77,1.02,0.83
1680726358268067,-9.76,1.02,0.78
1680726358277067,-9.78,1.03,0.78
1680726358288067,-9.79,1.03,0.81
1680726358299067,-9.76,1.01,0.8
1680726358310067,-9.77,1.02,0.75
1680726358320067,-9.79,1.0,0.74
1680726358331067,-9.76,0.96,0.76
1680726358342067,-9.77,0.97,0.78
1680726358353069,-9.79,1.0,0.78
1680726358363069,-9.75,1.01,0.87
1680726358374069,-9.79,1.05,0.78
1680726358385069,-9.74,1.01,0.79
1680726358397069,-9.76,0.99,0.78
1680726358408069,-9.76,1.01,0.78
1680726358419068,-9.76,1.02,0.77
1680726358430068,-9.75,0.99,0.7
1680726358441068,-9.8,0.98,0.73
1680726358452068,-9.81,0.97,0.75
1680726358463068,-9.76,1.01,0.8
1680726358474068,-9.76,1.03,0.84
1680726358485068,-9.78,1.01,0.77
1680726358497068,-9.77,0.97,0.77
1680726358508068,-9.75,0.99,0.81
1680726358518068,-9.76,0.98,0.72
1680726358528068,-9.79,0.96,0.76
1680726358539068,-9.75,0.98,0.75
1680726358549068,-9.79,1.02,0.69
1680726358560068,-9.79,1.03,0.74
1680726358570068,-9.78,1.01,0.76
1680726358581068,-9.77,0.97,0.74
1680726358591068,-9.78,1.03,0.68
1680726358602068,-9.76,1.02,0.73
1680726358612068,-9.76,1.0,0.7
1680726358623067,-9.77,1.08,0.72
1680726358634067,-9.77,1.02,0.7
1680726358645067,-9.77,0.98,0.72
1680726358656067,-9.79,0.96,0.68
1680726358667067,-9.77,0.96,0.73
1680726358677067,-9.77,0.97,0.69
1680726358688067,-9.78,0.95,0.7
1680726358698067,-9.79,0.99,0.71
1680726358709069,-9.76,1.04,0.68
1680726358720069,-9.78,1.01,0.67
1680726358730069,-9.77,1.0,0.69
1680726358741068,-9.79,1.04,0.72
1680726358751068,-9.78,1.04,0.72
1680726358762068,-9.75,1.03,0.69
1680726358773068,-9.78,1.0,0.74
1680726358784068,-9.78,1.04,0.7
1680726358795068,-9.79,1.01,0.7
1680726358807068,-9.78,0.94,0.69
1680726358818068,-9.82,1.05,0.71
1680726358829068,-9.73,1.07,0.69
1680726358839068,-9.78,0.96,0.66
1680726358850068,-9.81,0.95,0.68
1680726358860068,-9.78,0.98,0.7
1680726358871068,-9.76,0.98,0.72
1680726358882068,-9.81,1.0,0.7
1680726358892068,-9.81,1.01,0.67
1680726358902068,-9.79,1.01,0.66
1680726358912068,-9.78,0.99,0.71
1680726358923068,-9.77,1.01,0.72
1680726358934068,-9.77,1.04,0.71
1680726358944068,-9.78,0.99,0.72
1680726358956068,-9.77,1.01,0.71
1680726358967068,-9.76,0.99,0.7
1680726358978067,-9.79,0.98,0.67
1680726358989067,-9.77,1.01,0.68
1680726358999067,-9.8,1.03,0.69
1680726359010067,-9.78,0.99,0.67
1680726359021067,-9.78,0.99,0.72
1680726359031067,-9.79,1.0,0.68
1680726359042067,-9.77,0.99,0.71
1680726359052067,-9.8,0.97,0.72
1680726359063069,-9.78,0.97,0.67
1680726359074069,-9.79,0.98,0.68
1680726359084069,-9.78,0.98,0.73
1680726359095069,-9.79,1.0,0.7
1680726359107069,-9.76,0.94,0.7
1680726359117069,-9.79,0.98,0.68
1680726359128069,-9.79,1.0,0.7
1680726359138069,-9.76,0.99,0.72
1680726359149068,-9.77,1.02,0.71
1680726359160068,-9.77,1.0,0.66
1680726359170068,-9.79,1.02,0.69
1680726359181068,-9.78,1.02,0.7
1680726359192068,-9.79,0.97,0.71
1680726359203068,-9.78,0.95,0.7
1680726359214068,-9.76,0.97,0.71
1680726359226068,-9.77,0.99,0.72
1680726359236068,-9.77,1.0,0.69
1680726359247068,-9.74,0.97,0.72
1680726359257068,-9.8,1.0,0.7
1680726359268068,-9.81,0.94,0.77
1680726359278068,-9.77,1.0,0.69
1680726359288068,-9.79,1.0,0.62
1680726359299068,-9.78,0.96,0.71
1680726359309068,-9.79,0.95,0.66
1680726359319068,-9.78,0.97,0.69
1680726359329068,-9.79,1.0,0.72
1680726359339068,-9.76,1.01,0.71
1680726359350068,-9.78,1.02,0.67
1680726359359068,-9.78,0.96,0.69
